	Laquelle de ces montures n'est pas sortie durant l'extension  The Burning Crusade ?	Faucon-dragon bleu	Raies du néant	Drake de l'aile-du-néant	Rênes du seigneur corbeau	Minuit	Faucon-pérégrin blanc rapide	BC	
	Quel est l'effet de l'attaque "Crachat de poison" ?	Empoisonne la cible							
	Quel est l'effet de l'attaque "Cri primal" ?	Réduit la vitesse							
	Quel est l'effet de l'attaque "Croc empoisonné" ?	Empoisonne la cible							
	Quel est l'effet de l'attaque "Croc énorme" ?	Augmente des degats croissants							
	Quel est l'effet de l'attaque "Croc vicieux" ?	Augmente des degats croissants							
	Quel est l'effet de l'attaque "Croc-de-sang" ?	Augmente des degats							
	Quel est l'effet de l'attaque "Déchiqueteur" ?	Fait saigner la cible							
	Quel est l'effet de l'attaque "Déchirure" ?	Fait saigner la cible							
	Quel est l'effet de l'attaque "Devenir cinglé" ?	Augmente le critique							
	Quel est l'effet de l'attaque "Dévorer" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Donner à manger" ?	Inflige des dégats et soigne							
	Quel est l'effet de l'attaque "Enfouir" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Essaim de jeunes araignées" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Frappe retentissante" ?	Augmente les dégats							
	Quel est l'effet de l'attaque "Griffe noire" ?	Augmente les dégats							
	Quel est l'effet de l'attaque "Griffure" ?	Réduit les dégats de la cible							
	Quel est l'effet de l'attaque "Grosse piqûre" ?	Empoisonne les cibles							
	Quel est l'effet de l'attaque "Hiberner" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Hurlement" ?	Augmente les dégats infligés							
	Quel est l'effet de l'attaque "Lacérer" ?	Inflige des dégats en plusieurs fois							
	Quel est l'effet de l'attaque "Lancer de tonneau" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Mignon mais costaud" ?	Réduit les dégats subits							
	Quel est l'effet de l'attaque "Mutilation" ?	Augmente les dégats infligés							
	Quel est l'effet de l'attaque "Mutiler" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Piétiner" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Piqûre" ?	Empoisonne la cible							
	Quel est l'effet de l'attaque "Poison aveuglant" ?	Réduit les chances de toucher							
	Quel est l'effet de l'attaque "Prison de cristal" ?	Etourdit la cible							
	Quel est l'effet de l'attaque "Ravage" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Rets gluants" ?	Empêche de fuir							
	Quel est l'effet de l'attaque "Rôder" ?	Réduit la vitesse et augmente les dégats							
	Quel est l'effet de l'attaque "Rosser" ?	Inflige des dégats en plusieurs fois							
	Quel est l'effet de l'attaque "Ruée" ?	Permet au lanceur d’attaquer en premier							
	Quel est l'effet de l'attaque "Rugissement" ?	Augmente les dégats							
	Quel est l'effet de l'attaque "Saccager" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Sifflement" ?	Réduit la vitesse							
	Quel est l'effet de l'attaque "Sonner" ?	Etourdit la cible							
	Quel est l'effet de l'attaque "Toile fragile" ?	Inflige des dégats sur la durée							
	Quel est l'effet de l'attaque "Triple claquement" ?	Inflige des dégats en plusieurs fois							
	Quel est l'effet de l'attaque "Venin paralysant" ?	Interrompt le tour de l’adversaire							
	Quel est l'effet de l'attaque "Accroupi" ?	Réduit les dégats subits							
	Quel est l'effet de l'attaque "Apaiser" ?	Fait somnoler la cible							
	Quel est l'effet de l'attaque "Apocalypse" ?	Tue toutes les mascottes actives							
	Quel est l'effet de l'attaque "Apocalypse supérieure" ?	Tue toutes les mascottes adverses							
	Quel est l'effet de l'attaque "Attaque sournoise" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Barrage de castor" ?	Bloque deux attaques							
	Quel est l'effet de l'attaque "Barrage de glands" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Bave acide" ?	Augmente les dégats subits							
	Quel est l'effet de l'attaque "Bêler" ?	Soigne toute vos mascottes							
	Quel est l'effet de l'attaque "Berceuse" ?	Endort la cible							
	Quel est l'effet de l'attaque "Brouter" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Chance incroyable" ?	Augmente le critique et le toucher							
	Quel est l'effet de l'attaque "Coulée de boue" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Danse de la chance" ?	Augmente le critique et le toucher							
	Quel est l'effet de l'attaque "Danse éblouissante" ?	Augmente la vitesse							
	Quel est l'effet de l'attaque "Flair" ?	Détruit tout les objets créés							
	Quel est l'effet de l'attaque "Fouette-langue" ?	Inflige des dégats en plusieurs fois							
	Quel est l'effet de l'attaque "Frappe glougloutante" ?	Augmente la vitesse							
	Quel est l'effet de l'attaque "Lenteur et immobilisation" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Poussée d’adrénaline" ?	Augmente la vitesse							
	Quel est l'effet de l'attaque "Refuge" ?	Bloque la prochaine attaque							
	Quel est l'effet de l'attaque "Remontant" ?	Soigne vos mascottes							
	Quel est l'effet de l'attaque "Séquence vicieuse" ?	Augmente la vitesse							
	Quel est l'effet de l'attaque "Somnolence post-prandiale" ?	Endort la cible							
	Quel est l'effet de l'attaque "Tempête de sable" ?	Réduit les dégats subit							
	Quel est l'effet de l'attaque "Toucher de la Nature" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Toupie" ?	Augmente la vitesse							
	Quel est l'effet de l'attaque "Tranquillité" ?	Soigne sur plusieurs tours							
	Quel est l'effet de l'attaque "Trésor enfoui" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Trop trognon" ?	Sois mignon et tais-toi							
	Quel est l'effet de l'attaque "Bénédiction antique" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Cataclysme" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Courbure temporelle" ?	Réinitialise vos temps de recharge							
	Quel est l'effet de l'attaque "Cri perçant" ?	Réduit les dégats subits							
	Quel est l'effet de l'attaque "Dévaster" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Flamme de soins" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Gaz narcotique" ?	Inflige des dégats croissants							
	Quel est l'effet de l'attaque "Instabilité" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Météores" ?	Inflige des dégats a tous les adversaires							
	Quel est l'effet de l'attaque "Météorite du Crépuscule" ?	Inflige des dégats a tous les adversaires							
	Quel est l'effet de l'attaque "Peau épineuse" ?	Réduit les dégats subits							
	Quel est l'effet de l'attaque "Présence d’émeraude" ?	Réduit les dégats subits							
	Quel est l'effet de l'attaque "Proto-frappe" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Remède draconique" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Rêve d’émeraude" ?	Soigne votre mascotte en plusieurs tours							
	Quel est l'effet de l'attaque "Souffle de flammes" ?	Fait brûler la cible							
	Quel est l'effet de l'attaque "Souffle de givre" ?	Gèle la cible							
	Quel est l'effet de l'attaque "Souffle de jade" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Souffle de peste" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Souffle profond" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Terre brûlée" ?	Fait brûler toutes les mascottes							
	Quel est l'effet de l'attaque "Tonneau" ?	Augmente les dégats infligés							
	Quel est l'effet de l'attaque "Trait d’élémentium" ?	Etourdit la cible 							
	Quel est l'effet de l'attaque "Appel de l’hiver" ?	Déclenche un Blizzard							
	Quel est l'effet de l'attaque "Appel du blizzard" ?	Déclenche un Blizzard							
	Quel est l'effet de l'attaque "Avalanche" ?	Inflige des dégats à tous les adversaires							
	Quel est l'effet de l'attaque "Avantage précoce" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Barrage de pierres" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Barrière de glace" ?	Bloque deux attaques							
	Quel est l'effet de l'attaque "Bave gluante" ?	Empêche de fuir							
	Quel est l'effet de l'attaque "Bouclier de feu" ?	Inflige des dégats lors d'une attaque							
	Quel est l'effet de l'attaque "Bouclier de foudre" ?	Inflige des dégats lors d'une attaque							
	Quel est l'effet de l'attaque "Branche empoisonnée" ?	Empoisonne la cible							
	Quel est l'effet de l'attaque "Brumes apaisantes" ?	Soigne sur la durée							
	Quel est l'effet de l'attaque "Buuurp !" ?	Empoisonne la cible							
	Quel est l'effet de l'attaque "Ça chauffe" ?	Inflige des dégats lors d'une attaque							
	Quel est l'effet de l'attaque "Cautérisation" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Champi-spores" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Chant inspirant" ?	Soigne vos mascottes							
	Quel est l'effet de l'attaque "Chiots de la Flamme" ?	Devient inattaquable 							
	Quel est l'effet de l'attaque "Choc cosmique" ?	Inflige des dégats à tous les adversaires							
	Quel est l'effet de l'attaque "Coup de tonnerre" ?	Inflige des dégats à tous les adversaires							
	Quel est l'effet de l'attaque "Décharge électrique" ?	Inflige des dégats en plusieurs fois							
	Quel est l'effet de l'attaque "Eclair" ?	Inflige des dégats à tous les adversaires							
	Quel est l'effet de l'attaque "Ecorce" ?	Réduit les dégats subits							
	Quel est l'effet de l'attaque "Ecorcefer" ?	Réduit les dégats subits							
	Quel est l'effet de l'attaque "Enivrer" ?	Réduit la précision de l'equipe adverse							
	Quel est l'effet de l'attaque "Epines" ?	Inflige des dégats lors d'une attaque							
	Quel est l'effet de l'attaque "Feu du Crépuscule" ?	Fait brûler la cible							
	Quel est l'effet de l'attaque "Fils de la Racine" ?	Devient inattaquable 							
	Quel est l'effet de l'attaque "Flamme sombre" ?	Réduit les soins							
	Quel est l'effet de l'attaque "Fouet" ?	Inflige des dégats en plusieurs fois							
	Quel est l'effet de l'attaque "Fouet empoisonné" ?	Empoisonne la cible							
	Quel est l'effet de l'attaque "Frénésie" ?	Augmente les dégats infligés							
	Quel est l'effet de l'attaque "Froid cinglant" ?	Inflige des dégats croissants							
	Quel est l'effet de l'attaque "Gel instantané" ?	Gèle la cible et réduit la vitesse							
	Quel est l'effet de l'attaque "Geyser" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Goudron super collant" ?	Empêche de fuir							
	Quel est l'effet de l'attaque "Graine étourdissante" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Horion de givre" ?	Gèle la cible et réduit la vitesse							
	Quel est l'effet de l'attaque "Immolation" ?	Inflige des dégats sur la durée							
	Quel est l'effet de l'attaque "Immolation gangrenée" ?	Fait brûler la cible							
	Quel est l'effet de l'attaque "Immoler" ?	Fait brûler la cible							
	Quel est l'effet de l'attaque "Je s’appelle Broute !" ?	Augmente les dégats infligés							
	Quel est l'effet de l'attaque "Lance-flammes" ?	Fait brûler la cible							
	Quel est l'effet de l'attaque "Marteler" ?	Inflige des dégats à tous les adversaires							
	Quel est l'effet de l'attaque "Nova de givre" ?	Empêche de fuir							
	Quel est l'effet de l'attaque "Nova du chaos" ?	Inflige des dégats à tous les adversaires							
	Quel est l'effet de l'attaque "Photosynthèse" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Plumes de feu" ?	Inflige des dégats en plusieurs fois							
	Quel est l'effet de l'attaque "Poing de la forêt" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Pointe de glace" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Protection de la Nature" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Reforger" ?	Soigne sur plusieurs tours							
	Quel est l'effet de l'attaque "Sables mouvants" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Sarments" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Souffle de chagrin" ?	Réduit les soins de la cible							
	Quel est l'effet de l'attaque "Tir de flammes" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Tombeau de glace" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Trait de sable" ?	Réduit la vitesse de la cible							
	Quel est l'effet de l'attaque "Volcan" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Bénédiction d’Anzu" ?	Augmente des degats infligés							
	Quel est l'effet de l'attaque "Caquètement" ?	Réduit les dégats de la cible							
	Quel est l'effet de l'attaque "Caquètement d’avertissement" ?	Augmente les chances de coup critique							
	Quel est l'effet de l'attaque "Croassement" ?	Augmente les chances de coup critique							
	Quel est l'effet de l'attaque "Cyclone" ?	Créé un cyclone qui inflige des dégats							
	Quel est l'effet de l'attaque "Décollage" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Frappe alpha" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Frappe du prédateur" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Frappe nocturne" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Frappe téméraire" ?	Augmente les dégats subits							
	Quel est l'effet de l'attaque "Frappe-cocon" ?	Bloque une attaque							
	Quel est l'effet de l'attaque "Hargne" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Lissage de plumes" ?	Augmente les dégats infligés							
	Quel est l'effet de l'attaque "Nuée" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Oeil de faucon" ?	Augmente les chances de coup critique							
	Quel est l'effet de l'attaque "Piqûre déroutante" ?	Empoisonne la cible							
	Quel est l'effet de l'attaque "Plumes" ?	Inflige des dégats en plusieurs fois							
	Quel est l'effet de l'attaque "Précision" ?	Augmente des chance de toucher							
	Quel est l'effet de l'attaque "Rase-mottes" ?	Augmente les dégats subits							
	Quel est l'effet de l'attaque "Tempête de sable" ?	Déclenche une Tempête de sable							
	Quel est l'effet de l'attaque "Toxine luminescente" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Vent cinglant" ?	Inflige des dégats en plusieurs fois							
	Quel est l'effet de l'attaque "Vents sauvages" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Attaque éclair" ?	Inflige des dégats en plusieurs fois							
	Quel est l'effet de l'attaque "Bandage" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Batifoler" ?	Augmente les chances d'esquive							
	Quel est l'effet de l'attaque "Bombe fumigène" ?	Insensible pendant un tours							
	Quel est l'effet de l'attaque "Bond héroïque" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Bonne bouille" ?	Augmente les chances d'esquive							
	Quel est l'effet de l'attaque "Bouclier réflecteur" ?	Réduit les dégats subit							
	Quel est l'effet de l'attaque "Bulle" ?	Bloque deux attaques							
	Quel est l'effet de l'attaque "Charge" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Charge sacrée" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Chute de murloc" ?	Etourdit la cible 							
	Quel est l'effet de l'attaque "De plein fouet" ?	Etourdit la cible 							
	Quel est l'effet de l'attaque "Déviation" ?	Insensible pendant un tours							
	Quel est l'effet de l'attaque "Esquive" ?	Insensible pendant un tours							
	Quel est l'effet de l'attaque "Esquive caudale" ?	Insensible pendant un tours							
	Quel est l'effet de l'attaque "Focalisation" ?	Augmente la vitesse, le critique et le toucher							
	Quel est l'effet de l'attaque "Focalisation du chi" ?	Double vos dégats							
	Quel est l'effet de l'attaque "Frappe du voile noir" ?	Etourdit la cible 							
	Quel est l'effet de l'attaque "Frappé par l’amour" ?	Etourdit la cible 							
	Quel est l'effet de l'attaque "Gardien d’âme" ?	Insensible pendant un tours							
	Quel est l'effet de l'attaque "Générateur d’écran" ?	Réduit les dégats subit							
	Quel est l'effet de l'attaque "Heure de la sieste" ?	Fait une petite sieste							
	Quel est l'effet de l'attaque "Jarre de liquide puant" ?	Réduit la vitesse et les dégats infligés							
	Quel est l'effet de l'attaque "Justice sacrée" ?	Etourdit la cible 							
	Quel est l'effet de l'attaque "Maîtrise du blocage" ?	Insensible pendant un tours							
	Quel est l'effet de l'attaque "Philtre d’amour" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Poudre aveuglante" ?	Réduit les chance de toucher							
	Quel est l'effet de l'attaque "Pour l’aventure !" ?	Soigne vos mascottes							
	Quel est l'effet de l'attaque "Prison d’ambre" ?	Etourdit la cible 							
	Quel est l'effet de l'attaque "Rayon accablant" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Restauration" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Souffle effroyable" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Surpuissance" ?	Augmente les dégats infligés							
	Quel est l'effet de l'attaque "Tourbillon" ?	Attaque toutes les mascottes adverses							
	Quel est l'effet de l'attaque "Vague de lumière" ?	A une chance d'etourdir la cible							
	Quel est l'effet de l'attaque "Vieux jaune d’œuf" ?	Annule tout vos buff et debuff							
	Quel est l'effet de l'attaque "Amplification de la magie" ?	Augmente des degats infligés							
	Quel est l'effet de l'attaque "Anomalie temporelle" ?	Réduit la vitesse							
	Quel est l'effet de l'attaque "Arrêt du temps" ?	Etourdit la cible							
	Quel est l'effet de l'attaque "Barrière illusoire" ?	Bloque deux attaques							
	Quel est l'effet de l'attaque "Barrière prismatique" ?	Bloque deux attaques							
	Quel est l'effet de l'attaque "Bénédiction astrale" ?	Réduit les dégats subit							
	Quel est l'effet de l'attaque "Brûler la magie" ?	Annule tout vos buff et debuff							
	Quel est l'effet de l'attaque "Cauchemar" ?	Réduit les soins reçu							
	Quel est l'effet de l'attaque "Changement de phase" ?	Insensible pendant un tours							
	Quel est l'effet de l'attaque "Consumer la magie" ?	Annule tout vos buff et debuff							
	Quel est l'effet de l'attaque "Corrosion" ?	Inflige des dégats sur la durée							
	Quel est l'effet de l'attaque "Coup de tentacule" ?	Inflige des dégats sur la durée							
	Quel est l'effet de l'attaque "Crochets centrifuges" ?	Augmente la vitesse							
	Quel est l'effet de l'attaque "Danse lunaire" ?	Augmente la vitesse							
	Quel est l'effet de l'attaque "Déflagration de Néant" ?	Inflige des dégats croissants							
	Quel est l'effet de l'attaque "Déflagration des Arcanes" ?	Inflige des dégats croissants							
	Quel est l'effet de l'attaque "Drain de puissance" ?	Dégat infligé augmenté et dégat subit reduit							
	Quel est l'effet de l'attaque "Echange de vie" ?	Equilibre vos points de vie avec votre adversaire							
	Quel est l'effet de l'attaque "Eruption de mana" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Éthérien" ?	Insensible pendant un tours							
	Quel est l'effet de l'attaque "Evanescence" ?	Insensible pendant un tours							
	Quel est l'effet de l'attaque "Evolution" ?	Augmente des degats infligés							
	Quel est l'effet de l'attaque "Explosion des Arcanes" ?	Attaque toutes les mascottes adverses							
	Quel est l'effet de l'attaque "Faiblesse" ?	Réduit la vitesse et les dégats infligés							
	Quel est l'effet de l'attaque "Frappe météore" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Gain métabolique" ?	Augmente la vitesse							
	Quel est l'effet de l'attaque "Glandes surrénales" ?	Augmente les chance de critique							
	Quel est l'effet de l'attaque "Graouh !" ?	Image être un vrai elekk...							
	Quel est l'effet de l'attaque "Illuminer" ?	Fait apparaître le soleil							
	Quel est l'effet de l'attaque "Incertitude" ?	Augmente le critique et réduit la vitesse							
	Quel est l'effet de l'attaque "Insanité rampante" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Magie sauvage" ?	Inflige des dégat lors d'une attaque							
	Quel est l'effet de l'attaque "Mauvais pressentiment" ?	Augmente les dégats et réduit la vitesse							
	Quel est l'effet de l'attaque "Nettoyage" ?	Détruit tout les objets créés							
	Quel est l'effet de l'attaque "Nimbus" ?	Augmente les chances de toucher							
	Quel est l'effet de l'attaque "Onde de choc psionique" ?	Attaque toutes les mascottes adverses							
	Quel est l'effet de l'attaque "Oubli" ?	Insensible pendant un tours							
	Quel est l'effet de l'attaque "Peau de pierre" ?	Réduit les dégats subit							
	Quel est l'effet de l'attaque "Peau-de-fer" ?	Réduit les dégats subit							
	Quel est l'effet de l'attaque "Pire cauchemar" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Pointes spirituelles" ?	Inflige des dégat lors d'une attaque							
	Quel est l'effet de l'attaque "Portail" ?	Insensible pendant un tours							
	Quel est l'effet de l'attaque "Quand les elekk voleront" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Rayon de feu spirituel" ?	Attaque toutes les mascottes adverses							
	Quel est l'effet de l'attaque "Rayons focalisés" ?	Inflige des dégats croissants							
	Quel est l'effet de l'attaque "Reflet lenticulaire" ?	Réduit les chances de toucher							
	Quel est l'effet de l'attaque "Regard assassin" ?	Réduit la vitesse							
	Quel est l'effet de l'attaque "Remonter le temps" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Souhait" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Stimulants" ?	Augmente le critique							
	Quel est l'effet de l'attaque "Tempête arcanique" ?	Attaque toutes les mascottes adverses							
	Quel est l'effet de l'attaque "Tempête psionique" ?	Attaque toutes les mascottes adverses							
	Quel est l'effet de l'attaque "Tir des Arcanes" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Vision intérieure" ?	Double vos dégats							
	Quel est l'effet de l'attaque "Appel de la foudre" ?	Déclenche une tempête de foudre							
	Quel est l'effet de l'attaque "Armageddon" ?	Attaque toutes les mascottes adverses							
	Quel est l'effet de l'attaque "Attention !" ?	Insensible pendant un tours							
	Quel est l'effet de l'attaque "Bombe incendiaire" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Canon à ions" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Champ de mines" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Découpe" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Détraqué" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Distorsion" ?	Insensible pendant un tours							
	Quel est l'effet de l'attaque "Elan" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Exploser" ?	Vous tue et inflige de gros dégats							
	Quel est l'effet de l'attaque "Fluctuation" ?	Attaque toutes les mascottes adverses							
	Quel est l'effet de l'attaque "Fumée toxique" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Lance-roquettes" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Leurre" ?	Bloque deux attaques							
	Quel est l'effet de l'attaque "Plaque supplémentaire" ?	Réduit les dégats subit							
	Quel est l'effet de l'attaque "Projectile" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Raclée" ?	Inflige des dégats en plusieurs fois							
	Quel est l'effet de l'attaque "Rafistolage" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Redémarrer" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Remonté" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Réparation" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Secousse" ?	Attaque toutes les mascottes adverses							
	Quel est l'effet de l'attaque "Supercharge" ?	Augmente les dégats infligés							
	Quel est l'effet de l'attaque "Surrégime" ?	Augmente la vitesse							
	Quel est l'effet de l'attaque "Verrouillage" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Voile de tempête" ?	Attaque toutes les mascottes adverses							
	Quel est l'effet de l'attaque "Absorber" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Agonie" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Ascension impie" ?	Augmentent les dégâts subis							
	Quel est l'effet de l'attaque "Barrage d’os" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Champignon rampant" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Chant entêtant" ?	Soigne vos masquotte							
	Quel est l'effet de l'attaque "Consumer" ?	Soigne votre masquotte							
	Quel est l'effet de l'attaque "Coups surpuissants" ?	Augmente des degats croissants							
	Quel est l'effet de l'attaque "Drain sanglant" ?	Soigne votre masquotte							
	Quel est l'effet de l'attaque "Explosion morbide" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Festin macabre" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Grand enchaînement" ?	Attaque toutes les mascottes adverses							
	Quel est l'effet de l'attaque "Malédiction funeste" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Morsure fantomatique" ?	Vous etourdit							
	Quel est l'effet de l'attaque "Mort et décomposition" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Pourriture" ?	Transforme en mort-vivant							
	Quel est l'effet de l'attaque "Réanimer" ?	Réanime une de vos mascottes							
	Quel est l'effet de l'attaque "Siphon de vie" ?	Inflige des dégats sur plusieurs tours							
	Quel est l'effet de l'attaque "Tempête d’os" ?	Attaque toutes les mascottes adverses							
	Quel est l'effet de l'attaque "Voile mortel" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Vol de vie" ?	Inflige des dégats							
									
									
	Quel est le temps de recharge de l'attaque "Déviation" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Explosion des Arcanes" ?	Aucun							
	Quel est le temps de recharge de l'attaque "Rupture" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Vague de puissance" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Eruption de mana" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Drain de puissance" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Amplification de la magie" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Sombre renaissance" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Vague de soins" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Tourbillonnement" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Toucher acide" ?	Aucun							
	Quel est le temps de recharge de l'attaque "Tornade de carpes" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Pluie purifiante" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Pluie acide" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Plongeon" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Ecrasement" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Inflige des dégats" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Danse de la pluie" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Coassement" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Carapace épineuse" ?	2 tours							
	Quel est le temps de recharge de l'attaque "Baiser de grenouille" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Aboiement surpuissant" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Appel de la meute" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Barrage de bananes" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Blessure transperçante" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Bouclier de tricorne" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Breuvage puant" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Carapace blindée" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Charge chancelante" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Charge de tricorne" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Cherchez la vache" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Coup de corne" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Coup de tête" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Cri primal" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Croc empoisonné" ?	aucun							
	Quel est le temps de recharge de l'attaque "Croc énorme" ?	1 tours							
